ID,COMMAND
17,"enter the smaller of the red rooms"
1,"move robot to chair"
13,"move to the blue room"
16,"go to the green hallway"
21,"go into the largest room"
18,"move yourself to the exact center of the small green room"
13,"enter into the blue room"
0,"be next to the red chair and not the blue chair"
7,"stand by the red chair"
10,"stand on the right side of the red chair and look towards me"
10,"stand to the right side of the red chair"
15,"enter the smallest room"
6,"push the chair into the blue room without entering the room"
2,"proceed to the green colored room"
2,"go to where the green room is"
16,"move into the wide room"
4,"move from the current location to wherever the pink room is at"
0,"move toward the red chair"
18,"go stand in the small green room"
19,"go straight out of the room you're in to the largest room of the house"
20,"move box in red room to opposite room"
14,"move to the smallest box"
2,"go into the room that is green"
1,"go to the room with the chair and sit close to it"
7,"move directly to the right of the red chair"
7,"move to the right of the red chair"
0,"move to the room with the red chair and get close to it"
17,"go into the small red square room"
21,"move into the largest room"
13,"move to the square that leads into the blue room, then move exactly one square into that blue room"
1,"move to the same side and close to the chair"
6,"block the doorway closest to the chair"
0,"go next to the red chair"
2,"robot move until green room"
20,"go to the biggest box"
12,"move next to blue chair"
20,"move to big box"
0,"move to the room with the red chair and stand next to it"
16,"move to the main room"
10,"move to the right of the chair"
1,"move as close to the chair as you can go"
9,"stand left of the red chair"
7,"go to and move the red chair above you"
10,"move to one spot east of the red chair"
6,"move the chair to the blue room and stand in the doorway"
10,"go close to the chair as you possibly can"
19,"move to the larger room"
20,"stand in front of the large box"
15,"move into the narrow rectangular room that is the smallest"
4,"stand in the pink colored room"
11,"move in front of chair in between rooms"
14,"locate and move to the smallest box"
4,"move robot to red room"
16,"move to the big green room"
7,"stand on your left side of the red chair"
16,"enter the large green room"
7,"go to the east side of the red chair"
5,"go to the entrance of the pink room"
12,"move to the blue chair"
19,"move into the large red room"
10,"move to the left-hand side of the chair"
22,"go in front of the blue chair"
15,"go into the smallest room"
3,"move from original room to blue room"
19,"move through the doorway"
5,"move the chair into the red room and stand by it"
14,"move to the room with the smallest box"
6,"stand close to the chair"
1,"move to where you are right up against the chair"
19,"move to the large red room"
11,"move to chair and stand in between rooms"
14,"go next to the smallest package"
16,"move into the larger green room"
20,"find and move to the largest box"
6,"move the chair into the blue room, and let the robot stand in the hallway of the room leading to the blue room"
0,"move to the room with the red chair and stop when adjacent to it"
15,"move to opposite small room"
18,"move to the exact center of the smaller green room"
20,"move next to the biggest shape"
8,"go towards the red chair"
9,"please stand to the left of the red chair"
18,"move into small green room"
21,"enter the largest room and stand near the doorway"
1,"move robot one step from chair"
8,"stand to the left of the red chair"
6,"move the chair to the blue room and stand next to it"
0,"exit your room, find the room with the red chair and stand next to it"
5,"move the chair into the red room and stand next to it"
4,"move into the pink room"
4,"proceed to the pink room"
14,"move to smallest box"
6,"go to the hallway where there is a blue room on either side"
10,"move to the east side of the red chair"
6,"move the chair into the blue room"
7,"stand to the right of the red chair and look away from me"
12,"move to blue chair"
20,"move to the biggest red room"
10,"move to the right side of the chair"
5,"move the chair into the red room and go beside it"
10,"stand to the right of the chair"
5,"grab the chair and bring it with you so it's in the pink room"
9,"move to the left side of the chair"
14,"move yourself in as few moves as possible so that you are directly touching the smaller box"
2,"go from the first position to the green room"
16,"move into the large green room"
11,"go towards the green door's hallway"
20,"move close to the large box"
3,"relocate to the blue room"
6,"move the chair to the blue room and stand in front of it in the white doorway"
16,"move to the nearest green room"
5,"move the chair into the red room near the hallway, and stop the robot once it has entered"
16,"move to the larger green room"
5,"navigate with the chair so that it is inside the red room"
11,"go into the passageway into the green room"
5,"move the chair into the pink room"
17,"go next to the red chair in the small room"
13,"enter purple room"
9,"move from one side of the top to the other"
2,"change locations to the green room"
11,"move the chair the green room"
10,"move the robot so he is positioned to the right of the red chair"
11,"move chair to green room"
14,"enter the room where the small box is"
5,"take the chair to the red room"
17,"move to the nearest pink room"
3,"leave your current room and enter the blue room"
13,"move the robot to the blue room"
17,"move into the second pink room"
3,"robot move purple room"
15,"move in the smallest room"
19,"go to the large red room"
19,"go to the bigger red room"
19,"move into the largest red room"
4,"move to the pink colored room"
4,"leave the room"
14,"move into the room that has the small brown box in it"
19,"move to the big red room"
4,"move to the room with a pink floor"
12,"go stand by the chair"
3,"move to the blue area"
17,"enter the small pink room"
17,"move to the pink room"
12,"move near the chair"
15,"go into the smallest room you can find"
11,"move to one spot south of the chair, no matter the color"
2,"move to the green area"
1,"find and walk up to the chair"
11,"push the chair into the green room but keep the robot in the hall"
14,"go stand by the small box"
12,"go into the room with the blue chair"
2,"position yourself in the green room"
0,"move closer to the red chair"
0,"move to whatever room the red chair is in"
20,"in the fewest amount of moves, move yourself so that you are directly touching the largest box"
11,"push the chair towards the green room"
11,"move the chair to the green room"
20,"go to the large box"
19,"go into the red room that is largest"
1,"move to the closes you can get to the chair"
2,"robot move to room green"
10,"stand adjacent to the red chair"
14,"move to the small object"
3,"move to the blue room from original position"
1,"go to a location that is adjacent to the chair"
3,"do not stand next to the red chair"
13,"enter the blue room"
17,"move to the small pink room"
17,"move the robot to the small red room"
2,"put yourself in the green room"
0,"robot into red room"
4,"enter the pink room"
10,"move yourself to the square located to the immediate right of the chair"
15,"go to the smallest room"
13,"go to the small blue room"
3,"move up or down into a new room"
10,"move the red chair to the big room"
17,"go into the small red room"
4,"go near the red object"
13,"move into the only room that is purple"
8,"move the robot so he is positioned to the left of the red chair"
18,"move to the middle of the small green room"
19,"move to big red room"
15,"enter the smallest of the rooms"
11,"get closer to the chair"
7,"stand to the right of the red chair and do not change the way you are facing"
17,"move to smaller red room"
5,"get close and stay close to the chair"
5,"put the chair in the red room and stand next to it"
19,"move to the large pink room"
18,"move to the exact middle of the small green room"
1,"approach the chair"
6,"go to a chair"
19,"move into the larger red room"
5,"get close to the chair"
9,"change locations to the left side of the red chair"
20,"go to the largest box"
16,"move into the green rectangular room that is the largest"
2,"move to the green room from wherever the initial location is"
1,"find and get close to the chair"
3,"robot go to purple room"
0,"find the red chair and stand close to it"
19,"go to the bigger room"
14,"move by the smallest box"
8,"stand on the left side of the red chair"
1,"move to the room with the chair and close to it"
10,"stand on the right side of the chair"
1,"move towards the chair"
20,"move to be next to the big box"
15,"move to the green room with the chair"
15,"go to the small rectangular room"
5,"put the chair in the red room"
9,"go to the left side of the red chair"
2,"go to another room inside the house"
9,"go to the left side of the chair that is colored red"
18,"enter the small green room and stand in the middle"
18,"go to the center of the small green room"
13,"move to purple room"
10,"go stand to the right of the red chair"
5,"stand in between rooms moving the red chair to the pink room"
4,"proceed to the pink colored room"
9,"move next to the chair"
11,"move the blue chair to the green room"
15,"move to the smallest room"
16,"go into the big room"
22,"make sure the blue chair is in the blue room"
21,"leave the small room and wait outside in the big room"
6,"go stand next to the chair"
20,"stand next to the big box"
17,"go to the small red room"
16,"go into the large green rectangular room"
7,"go to the right of the red chair"
1,"move to the same room as the chair and if already in the same room, move closer"
0,"find the room with the red chair"
21,"move just outside the door in the next room"
4,"keep moving closer to the trash can"
5,"move the chair into the red room, and stop the robot once the chair has entered"
1,"change locations to be next to the chair"
13,"enter the blue room and stop immediately once you step on a blue tile"
16,"go into the large room"
14,"take the shortest path to the small box"
15,"move in the skinny room"
0,"move to a position adjacent to the red chair"
17,"go to the room with the red chair"
6,"move to one spot south of the chair"
2,"change rooms so that you are inside the green one"
4,"go to the other room"
9,"move yourself to the square located to the immediate left of the chair"
2,"go stand in the green room"
20,"go to the largest box and stand next to it"
12,"go stand beside the blue chair"
7,"move the red chair to the blue room"
6,"move the chair so that it is just barely in the blue room, and then stay on the white square that leads into that room"
2,"relocate to the green room"
3,"move to the blue room from whatever starting position"
19,"move to large room"
22,"take the chair that is next to the red chair into the blue room"
19,"go stand in the large pink room"
2,"move from on"
2,"change locations to be in the green colored room"
13,"move into blue room"
17,"move to the doorway of the small red room"
12,"move into the only room that has a blue chair in it"
16,"come out of the small room and go to the largest room"
21,"move into the large room"
12,"move to the chairs"
20,"move next to the biggest box"
10,"go to the chair and stand next to it on the right"
6,"relocate the chair to the blue room"
19,"move to big pink room"
21,"move to the doorway of the nearest adjacent room"
3,"move into the blue colored room"
9,"stand to the left side of the red chair"
5,"grab the chair and bring it so it is in the pink room near the doorway"
16,"stand in the big green room"
17,"move to the center of the small pink room"
12,"go to the blue chair"
21,"move directly to the next large room"
15,"go to the opposite room"
7,"move to the right of red chair"
20,"move to biggest box in the biggest room"
4,"move from whatever current room to the pink room"
1,"move as quick as possible to the chair"
1,"move to the same room as the chair and get close to it"
18,"move to the middle of the smallest green room"
4,"move into the pink colored room"
6,"stand in the doorway next to the chair"
0,"find and stand by the red chair"
1,"switch to the room with the chair and sit close to it"
3,"move locations so that you are inside the blue room"
14,"move to the room that contains the small box"
3,"robot in purple room"
22,"move to the small purple room"
5,"move the chair so that it is inside the red room"
20,"go close to the large box"
16,"go into the room with the red chair"
19,"go into the largest red room"
15,"go into the small rectangle room"
19,"go to the big red room"
0,"move to the room with the red chair"
2,"go to green room"
3,"move to the blue room from the original position"
18,"enter the smaller of the green rooms"
16,"go ahead into the large green room"
19,"go into the large red rectangle shaped room"
8,"stand on your right adjacent to the red chair"
3,"only stand next to the chair in the purple room"
11,"get close to the blue chair"
3,"move the chair or cage into the different colored big room"
11,"move the chair to the green room and stand next to it"
20,"in the fewest amount of possible moves, move so that you are touching the large box"
21,"go stand in the large room"
17,"go to small pink room"
10,"move the red chair to the big blue room"
3,"leave the pink room and enter the blue room"
9,"go to the left side of the red colored chair"
9,"go to the left side of the chair"
17,"enter the smallest pink room"
16,"go stand in the large green room"
12,"stand by the blue chair"
4,"move into a room that is red in color"
20,"move yourself close to the large box"
12,"go to the room with the blue chair"
4,"stand inside the pink room"
19,"enter the largest room"
20,"go  to the large box"
19,"go to the large room"
11,"get close to a chair"
13,"go to the purple room"
21,"move into the large rectangule room"
17,"go to the red room"
10,"go to the chair"
17,"go to the small pink room"
2,"move into the green room"
14,"robot went to the small box"
5,"stand next to the chair"
1,"please move next to the chair"
9,"move in the room next to the red chair"
20,"move to the largest box"
9,"stand to the left of the chair"
2,"move the red chair into the opposite room"
20,"go into the next room and stand near the large box"
15,"move into the skinny room"
6,"stand closer to the yellow chair"
1,"go stand near the chair"
18,"move yourself to the very middle of the small green chamber"
15,"go to the smallest room in the house"
14,"move to the right of the smallest box"
9,"stand beside the red chair"
6,"go to the entrance of the blue room"
1,"go near red chair"
3,"move to the blue room from wherever the starting point is"
22,"move the blue chair into the purple room"
8,"move to the left of the red chair"
11,"move the chair into the green, and position the robot in the hallway of the green room"
0,"robot go red chair"
0,"move from the room that you're in and stop at the room with red chair and stand by the red chair"
5,"move the chair to the red room and stand behind it"
11,"go to the entrance of the green room"
17,"move to the small red room"
19,"go to the red hallway"
6,"move close to a chair"
12,"stand next to blue chair"
0,"move into the room with the red chair"
0,"move from original position to the room with the red chair"
11,"move the blue chair from the blue room into the green room"
4,"move from current room to pink room"
1,"get close to the chair, robot"
12,"go to room with blue chair"
0,"position yourself next to the red chair"
0,"go to a spot close to the red chair"
15,"move to the edge of the smallest room"
20,"go into the room that has the largest brown box in it"
20,"go stand by the large box"
7,"move to the right side of the red chair"
16,"enter the largest room and stand not far from the doorway"
9,"move the robot to the left of the red chair"
6,"move the chair to the blue room and stand next to it in the white doorway"
19,"move into the larger pink room"
5,"move to the right of the blue chair, or one spot north of the red chair"
11,"move one spot south of a red or yellow chair, or move one spot west of a blue chair"
18,"move to the center of the small green room"
21,"move to the largest room"
14,"move to a position next to the small box"
12,"position the robot next to the blue chair"
18,"move into the smaller green room"
2,"move from first position to the green room"
14,"move into the room that has the smallest brown box in it"
22,"take the chair next to the red one and put it in the blue room"
4,"move around the chair without touching it"
17,"go to the small red chair"
10,"move yourself to the square located to the immediate right of the red chair"
0,"move to where the red chair is and get close to it"
2,"stand next to the red chair unless it is in the purple room"
22,"move to the room with the chair"
19,"move into the large rectangle room that is red"
16,"move into long rectangular room"
7,"position the robot to the right of the red chair"
6,"stand in the doorway next to a chair"
17,"move to the red room with the red chair"
3,"go into the purple room"
8,"get close to the red chair"
8,"go and stand on the left side of the red chair"
3,"put yourself in the blue room"
21,"move into the largest of the rooms"
2,"go into the green room"
8,"go stand on the left side of the red chair"
4,"change rooms so that you are in the room that is red"
14,"move next to the small shape"
20,"take the shortest path you can so that you are right next to the biggest box"
8,"move to the left of the red chair and face me"
5,"move to one spot north of the red chair"
7,"go to the red chair"
21,"move into the room with the chair"
13,"go into the room which is blue"
15,"move the smallest of the three rooms"
0,"move next to the chair in the pink room"
14,"move close to the smallest box"
11,"put the chair in the green room"
4,"move from the current room to the pink room"
19,"move to the larger pink room"
9,"move so that you are immediately to the left of the chair"
3,"stand in the blue room"
9,"position the robot to the left of the red chair"
18,"move yourself so that you are exactly in the center of the smaller green room"
6,"move as close to the chair as you can"
1,"go sit next to the chair"
4,"go into the red colored room"
5,"move the chair to the red room and stand near it"
14,"move next to the smallest box"
19,"enter the large red room"
17,"move to smallest pink room"
6,"move the chair to the purple room"
12,"move so that you are directly above or below the blue chair"
10,"stand next to the chair, robot"
2,"find the green room and go stand in it"
21,"move to the biggest room"
21,"go to the biggest room"
5,"move the chair to the red room without entering the room"
7,"go stand on the right side of the red chair"
3,"go into the blue area"
0,"move next to the side of the red chair"
11,"move the chair to the green room and stand in the doorway"
6,"push the chair into the blue room"
0,"robot go to red chair"
11,"push the chair into the green colored room"
13,"leave the room you're in and go to the blue room"
18,"move to the smallest green room in the middle"
1,"move to the close part of the chair"
14,"go to the small box"
22,"go next to the chair in the small purple room"
11,"move the chair to the green room and stand in front of it in the white doorway"
18,"move into the small green room"
4,"change locations to be in the red room"
21,"move to the large room"
13,"enter a blue colored room"
22,"put the blue chair in the blue room and stay there"
5,"move the chair into the red room and stand beside it"
2,"move to the center of the green room, but stop if you hit an obstacle"
19,"move into the bigger red room"
11,"move to chair"
11,"push the chair into the green room and stand beneath it"
4,"move to the area that is behind the chair"
14,"the robot goes to the small box"
18,"move to the exact center of the smaller green area"
4,"go to the pink room"
11,"move the chair into the green room and stand with it"
14,"go and locate the smallest of the three boxes"
7,"go toward's the red chair"
1,"find and approach the chair"
15,"move to the small blue room"
16,"move to the next room"
13,"end in purple room"
10,"go close to the red chair"
6,"go towards a hallway where there is a blue room"
0,"get close to the red chair in whatever room that is in"
17,"move into the small red room"
20,"using the least number of moves possible, move so that you are directly next to the large box"
6,"put the chair in the blue room and go near it"
18,"go into the smaller of the green rooms"
6,"move to room with chair but stand in between rooms"
1,"please go to the chair and stand next to it"
3,"move so that you are inside the blue room"
14,"stand next to the smallest box"
4,"move down into the next room"
0,"move to the far side of the red chair"
21,"move to the green room"
20,"go to the room with large box"
15,"move to the smallest room in the house"
3,"get in the blue room"
2,"enter the green colored room"
1,"move to the room with the chair and get right next to it"
14,"move to small box"
14,"go to the smallest box"
3,"stand next to the red chair unless it is in the green room"
5,"move the chair to the red room and stand beside it"
21,"move into the large main room"
5,"go close to the chair"
16,"move next to the red chair"
20,"take the shortest path to the large box"
4,"move from small room to large room"
13,"move so that you are in the blue room and on a blue colored square, then stop immediately"
1,"robot go to chair"
20,"go to the big box"
15,"move to the opposite small room"
1,"move as close to chair as possible"
2,"move robot into green room"
20,"park next to the big shape"
3,"go to the purple room now"
1,"enter the room with the chair in it"
17,"move to small red room"
22,"move to small blue room"
12,"go to red room"
3,"enter the room that is blue"
1,"robot move next to chair"
22,"push a chair to the blue room"
11,"move close to the red chair"
15,"enter the smallest room of the house"
0,"change locations to be by the red chair"
19,"enter the large pink room"
21,"move to the room with the blue chair"
3,"go stand in the blue room"
20,"move to the room with the biggest box"
11,"move in front of chair"
2,"stand in the green room"
0,"enter the room with the red chair"
20,"move by the big box"
0,"robot go to chair that is red"
21,"move to the big room regardless of color"
6,"get close to a chair in a different room"
14,"move next the smallest brown box"
11,"push the chair into the green room"
6,"relocate the chair into the blue room"
14,"go next to the tiny box"
5,"push the chair to the pink room"
2,"move yourself into the green room"
18,"go into the smallest green room"
7,"move one spot east of the red chair"
16,"move to the long green room"
4,"move from the current room to the room that is pink"
3,"find the blue room and then stand in it"
7,"move to get close to a chair"
9,"move the red chair to the green room"
7,"move to stand beside the red chair"
3,"switch to the blue colored room"
6,"move the chair to the blue room"
17,"move into the small pink room"
1,"move to same location as the chair is at"
2,"move to another room"
19,"move directly to a position in the large pink room"
9,"please stand to the left of the red chair and face me"
15,"go to the smallest room with a red chair"
19,"leave the smaller room and move to the largest room"
8,"move left of the red chair"
17,"go into the square pink room"
18,"move by the red chair"
2,"find the green room and then go into it"
12,"move to the red room"
2,"relocate to wherever the green room is"
13,"move to top left room"
8,"move to the left side of the red chair and face me"
13,"end at purple chair"
19,"stand in the big red room"
11,"stand in the doorway by the chair"
3,"enter the blue room and stand there"
1,"move yourself next to the chair"
4,"go in the red room"
13,"move into the blue room"
14,"go to the smallest package"
21,"move into the larger room"
20,"move next to the largest box"
18,"move into the small green room and stay there"
13,"go to the blue room"
0,"go stand by the red chair"
16,"move into the big green room"
0,"move towards the red chair in the red room"
0,"move towards the red chair"
13,"go to purple room"
21,"move to the long rectangular room"
16,"go into the large green room"
11,"move the chair into the green room, and stop the robot once the chair has entered"
6,"move the chair into the blue room, and have the robot positioned in the hallway to the blue room"
3,"move the chair but do not move the wastebasket"
20,"go to the big room"
9,"robot, move to the west side of the chair"
20,"stand next to the biggest box"
14,"move to the small box"
11,"get close to each other"
3,"move robot to purple room"
2,"go into the green colored room"
0,"move to the pink room as well as get close to the red chair"
11,"take the chair to the green room"
14,"move to the little box"
18,"move to a small green room"
20,"move by the larger box"
12,"stand next to the blue chair"
14,"find and move to the smallest box"
0,"do not move the blue chair, instead move the red chair"
0,"robot to red chair"
22,"move to the chair in the northeast room"
20,"move next to the largest brown box"
17,"find the bigger room with the chair"
8,"move to the left side of the red chair"
13,"move to blue room"
22,"bring the blue chair into the small blue room"
21,"go to the largest room"
15,"enter the smallest room and stand near a wall"
5,"move the chair to the red room"
1,"please go to the object and stand next to it"
0,"enter the room with the red chair and stand next to it"
20,"move next to the large box"
5,"move the chair into the red room"
16,"move into the large rectangular green room"
16,"move to the red chair"
16,"move to the doorway of the nearest green room"
2,"leave the pink room and enter the green room"
8,"move to one spot west of the red chair"
6,"move chair to blue room"
5,"take the chair to the red room and wait near it facing me"
8,"move directly to the left of the red chair"
16,"move the robot to the large green room"
0,"move next to the chair that is red"
21,"take the shortest path into the large room"
21,"move to the next large room"
16,"move to a position below the red chair"
2,"robot stop green room"
3,"relocate to where the blue room is"
21,"move to the big room"
3,"go inside the blue room"
9,"move to the left of the chair"
10,"stand on the right of the red chair"
0,"go in the red room by the red chair"
20,"move to the large box"
4,"robot go to red room"
0,"move to whatever room the red chair is in and get close to it"
4,"please move to the red area"
11,"push the chair into the green room without entering the room"
15,"move to smallest room"
20,"go into the room that has the large brown box in it"
9,"go and stand next to the red chair"
11,"place the chair in the green room"
16,"move to the large green room"
17,"go the small red room"
11,"move the chair into the green room"
22,"move one space under the blue chair"
16,"go into the largest green room"
7,"stand to the right of the red chair"
11,"put the chair in the green room and stand next to it"
9,"move to red chair"
22,"move to the purple room"
10,"go and stand to the right of the chair"
4,"move to the pink part of the layout"
21,"move yourself into the largest room"
18,"move to the small green room"
